Gross,Net,Conventional Accounting,Economic Sector,Sector,Category,Sub-Category 1,Sub-Category 2,Sub-Category 3,Year,Gas,MT CO2e AR5 20 yr,MT CO2e AR4 100 yr
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1990,CO2,521347,521347
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1991,CH4,5067,1508
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1991,CO2,550680,550680
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1991,N2O,2389,2696
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1992,CO2,539638,539638
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1992,N2O,2331,2631
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1993,CO2,444973,444973
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1994,CH4,3491,1039
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1994,CO2,376818,376818
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1994,N2O,1646,1858
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1996,CH4,5481,1631
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1996,CO2,590222,590222
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1996,N2O,2584,2916
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1997,CO2,533127,533127
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1998,CH4,2951,878
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1998,CO2,318193,318193
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1998,N2O,1391,1570
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1999,CH4,3581,1066
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1999,CO2,384797,384797
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1999,N2O,1688,1906
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2000,CH4,2026,603
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2000,CO2,217932,217932
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2000,N2O,955,1078
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2001,CH4,2237,666
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2001,CO2,240529,240529
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2001,N2O,1055,1190
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2002,CH4,881,262
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2002,CO2,94616,94616
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2002,N2O,415,469
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2003,CH4,1637,487
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2003,N2O,772,871
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2004,CH4,3207,955
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2004,CO2,343552,343552
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2004,N2O,1512,1707
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2005,CH4,3262,971
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2005,CO2,351462,351462
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2006,CH4,2803,834
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2006,CO2,304555,304555
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2006,N2O,1322,1492
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2007,CH4,2629,783
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2007,CO2,281875,281875
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2008,CH4,1515,451
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2008,CO2,161202,161202
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2008,N2O,714,806
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2009,CO2,52078,52078
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2009,N2O,231,260
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2010,CO2,7270,7270
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2010,N2O,32,36
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2011,CH4,97,29
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2011,CO2,10315,10315
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2012,CH4,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2013,CH4,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2013,CO2,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2013,N2O,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2014,CH4,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2014,CO2,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2015,CO2,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2015,N2O,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2016,CO2,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2016,N2O,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2017,CH4,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2017,N2O,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2018,CH4,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2018,N2O,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2019,CH4,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2020,CH4,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2020,CO2,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2020,N2O,0,0
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1990,CH4,79577,23684
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1990,CO2,6640643,6640643
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1990,N2O,15006,16939
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1991,CH4,76235,22689
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1991,CO2,6361752,6361752
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1992,CH4,83430,24830
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1992,CO2,6962207,6962207
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1993,CH4,83268,24782
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1993,CO2,6948673,6948673
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1993,N2O,15702,17724
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1994,N2O,15788,17822
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1995,CO2,6762302,6762302
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1996,CH4,80109,23842
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1996,CO2,6685017,6685017
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1996,N2O,15106,17052
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1997,CO2,6170870,6170870
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1998,CH4,61443,18287
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1998,CO2,5127416,5127416
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1998,N2O,11586,13079
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1999,CH4,71922,21405
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1999,CO2,6001805,6001805
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1999,N2O,13562,15309
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2000,CH4,78015,23219
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2000,CO2,6581267,6581267
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2000,N2O,14711,16606
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2001,CH4,86974,25885
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2001,CO2,7326329,7326329
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2001,N2O,16401,18513
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2002,CH4,77519,23071
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2002,CO2,6529852,6529852
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2002,N2O,14618,16501
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2003,CH4,102015,30362
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2003,CO2,8597491,8597491
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2003,N2O,19237,21715
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2004,CH4,102644,30549
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2004,CO2,8659015,8659015
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2004,N2O,19356,21849
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2005,CO2,7859405,7859405
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2005,N2O,17586,19850
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2006,CH4,80239,23881
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2006,CO2,6749004,6749004
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2006,N2O,15131,17079
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2007,CH4,74869,22283
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2007,CO2,6272566,6272566
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2007,N2O,14118,15936
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2008,CO2,5771081,5771081
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2008,N2O,12989,14662
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2009,CO2,5168778,5168778
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2010,CH4,51436,15308
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2010,N2O,9699,10949
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2011,CO2,4410514,4410514
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2011,N2O,9942,11222
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2012,CO2,3678011,3678011
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2012,N2O,8291,9358
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2013,CH4,47106,14020
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2013,CO2,3942638,3942638
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2013,N2O,8883,10027
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2014,CH4,43075,12820
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2014,CO2,3605283,3605283
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2015,CO2,4115437,4115437
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2015,N2O,9277,10471
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2016,N2O,7788,8791
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2017,N2O,7634,8617
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2018,CH4,41397,12321
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2019,CO2,3571176,3571176
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2019,N2O,8050,9087
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2020,CH4,32836,9773
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2020,N2O,6192,6989
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1990,CH4,1352,402
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1990,CO2,111610,111610
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1990,N2O,255,288
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1991,CO2,88409,88409
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1991,N2O,202,228
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1992,CH4,2052,611
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1992,CO2,169427,169427
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1992,N2O,387,437
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1993,CH4,3096,921
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1993,CO2,255641,255641
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1993,N2O,584,659
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1994,CH4,2705,805
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1994,CO2,223366,223366
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1994,N2O,510,576
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1995,N2O,677,764
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1996,CH4,3775,1124
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1996,N2O,712,804
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1997,CH4,4027,1199
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1997,CO2,332560,332560
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1997,N2O,759,857
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1998,CH4,4932,1468
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1999,CH4,3426,1020
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2000,CH4,4763,1417
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2000,CO2,393305,393305
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2001,CO2,362640,362640
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2002,CH4,2479,738
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2002,CO2,204703,204703
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2002,N2O,467,528
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2003,CH4,3341,994
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2003,CO2,275914,275914
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2003,N2O,630,711
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2004,CH4,3743,1114
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2004,N2O,706,797
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2005,CO2,315069,315069
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2005,N2O,719,812
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2006,CH4,1780,530
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2007,CH4,1228,366
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2007,CO2,101437,101437
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2007,N2O,232,261
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2008,N2O,121,137
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2009,CH4,851,253
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2009,CO2,70259,70259
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2010,CH4,775,231
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2010,N2O,146,165
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2011,CO2,69747,69747
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2011,N2O,159,180
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2012,CH4,300,89
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2012,CO2,24737,24737
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2013,CO2,11637,11637
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2013,N2O,27,30
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2015,CH4,140,42
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2015,CO2,11563,11563
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2015,N2O,26,30
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2016,CH4,289,86
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2016,CO2,23859,23859
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2016,N2O,54,61
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2017,CH4,155,46
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2017,CO2,12808,12808
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2017,N2O,29,33
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2018,CH4,207,62
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2018,CO2,17126,17126
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2019,CO2,30885,30885
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2019,N2O,71,80
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2020,CO2,22249,22249
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1990,CH4,1805,537
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1990,CO2,256187,256187
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1990,N2O,113,128
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1991,CH4,2235,665
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1992,CO2,311776,311776
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1992,N2O,138,156
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1993,CH4,1900,565
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1993,CO2,269581,269581
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1993,N2O,119,135
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1994,CH4,1925,573
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1994,CO2,273165,273165
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1994,N2O,121,137
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1995,CH4,1998,595
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1995,CO2,283604,283604
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1995,N2O,126,142
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1996,CO2,310015,310015
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1996,N2O,137,155
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1997,CO2,274989,274989
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1998,CH4,1913,569
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1998,CO2,271467,271467
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1998,N2O,120,136
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1999,CH4,2076,618
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1999,CO2,294608,294608
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,2000,CH4,2749,818
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,2000,CO2,390065,390065
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,2000,N2O,173,195
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,2001,CH4,2079,619
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,2001,CO2,295049,295049
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,2001,N2O,131,148
